index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	С возвращением добрый путник. Что тебе нужно от старика?		16	VariableEqual#hide_for_carpet,100		
1	Q	Возвращайся со всеми ингридиентами.		14	VariableEqual#hide_for_carpet,30		
1	Q	Я предупреждал. [BLUE](Старик совершает резкое движение руками, и вы успеваете лишь почувствовать боль в области шеи и сердца. Ваше сознание гаснет.)[]		13	VariableEqual#old_eger_angry,10		
1	Q	Прочь отсюда! И не попадайся мне больше на глаза	ES	20	VariableEqual#old_eger_angry,5		
1	Q	Долго же ты. Добыл пять шкур?		7	VariableEqual#hide_for_carpet,10		
1	Q	[BLUE](Вы замечаете дом, и старика готовящего, что-то на костре.)[]		2			
2	A	Подойти и предложить помощь.		3			
2	A	Медленно развернуться и уйти.		0			
2	A	Прокрасться в дом позади него		19			AGI#1
3	Q	[BLUE](Похоже о вашем присутствии тоже знали.)[] Долго же ты прятался в кустах. Решил не грабить бедного старика? Похвально, а помощь мне действительно нужна.		4			
4	A	Что нужно сделать?		5			
4	A	Я передумал, у меня есть дела по важнее, чем помощь дряхлому старику.		0			
4	A	Извините, но у меня есть неотложные дела.		0			PER#1
5	Q	Для ковров мне нужны волчьи шкуры, но не рваные - о них знаешь ли и зацепиться можно. Принеси мне для начала пять шкур с волков. Если захочешь отдохнуть, воспользуйся моей кроватью дома.		6			
6	A	пять не рваных шкур? Так это же совсем легко.		0		SetVariable#hide_for_carpet,10	
7	A	Вот старик, твои пять идеальных шкур.		8	PlayerHasItems#1003,5	"LoseItems#1003,5;SetVariable#hide_for_carpet,20"	
7	A	Пока ещё нет		0			
8	Q	[BLUE](Старик забирает из ваших рук шкуры, и несколько минут пристально их осматривает.)[] Не плохая работа, но это ещё не всё. Собери для меня 4 синих цветка, 6 красных, и наполни этот флакон водой из колодца. [BLUE]Он передал вам пустой флакон.[]		9			
9	A	Это намного проще волков.		0		"GainItem#11002;SetVariable#hide_for_carpet,30"	
9	A	Где награда за прошлое задание старик?!		10			
10	Q	[BLUE](Старик начинает безудержно хохотать, через время он успокаивается и отвечает вам.)[] Награда? Награда за что? За 5 шкур или за 10 цветочков и воду? Вот за это ты хочешь награду, Да?! Иди отсюда, иначе пожалеешь.		11			
11	A	[BLUE](Остаться и требовать награду дальше.)[]		12			
11	A	Послушаться старика и уйти.		0		"SetVariable#old_eger_angry,5;DecVariable#REP_varsilia,10"	
12	Q	[BLUE](Старик совершает резкое движение руками, и вы успеваете лишь почувствовать боль в области шеи и сердца. Ваше сознание гаснет, но до вас успевают донестись слова старика.)[] Я предупреждал мальчик.. я предупреждал.		13			
13	A	[BLUE]Далее.[]		0		LoseHP#1250	
14	A	Вот то, что ты просил.		15	"PlayerHasItems#2100,4;PlayerHasItems#2101,6;PlayerHasItem#11004"	"LoseItems#2100,4;LoseItems#2101,6;LoseItem#11004;GainItem#11005;GainItem#11006;GainXP#150;SetVariable#hide_for_carpet,100"	
14	A	Хорошо. [BLUE](Шёпотом)[] Безумные старики, с их странными поручениями...		0			
15	Q	Прекрасно, ты не так безнадёжен. Вот тебе рецепт отвара и сам отвар, кружку смотри не потеряй.		0			
16	A	Храняться у вас ещё какие нибудь рецепты снадобий,зелий или отваров?		17	VariableLower#eger_potion,2	SetVariable#eger_potion,2	
16	A	Ничего.		0			
17	Q	Тебя заинтересовала старое врачевание? Похвально, есть у меня дома стол для письма и немного чернил, тебе хватит лишь на один рецепт. Рецепты найдёшь на столе. Выбирай с умом.		18			
18	A	[BLUE]Поклонится старику в знак благодарности.[]		0			
18	A	Поблагодарить.		0			
19	Q	Дом доработать.		0			
20	A	[BLUE](Снова уйти.)[]		0		SetVariable#old_eger_angry,10	
