index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Продолжить смешивание ингредиентов?		3	VariableGreater#start_alchemy,5		
1	Q	[BLUE]Алхимия.[] Вы можете создавать зелья по найденным рецептам или смешать ингридиенты надеясь на удачу.		2			
2	A	Открыть хранилище. 		0		OpenWorldContainer#alchemy_chest	
2	A	Создать по рецепту		100			
2	A	Смешивать самостоятельно		1000	VariableLower#start_alchemy,5		
3	A	Продолжить комбинирование.		1002	VariableGreater#start_alchemy,5		
3	A	Отложить эксперемент.		1			
100	Q	Выберите рецепт		140			
1000	Q	Выберите действие		1001			
1001	A	Приступить к комбинирование.		1002		SetVariable#start_alchemy,6	
1001	A	Перейти к следующему этапу		2500	PlayerHasItem#11007	"LoseItem#11007;IncVariable#water_bottle,1"	
1001	A	Вылить образец.		4000			
1001	A	Похоже вы забыли колбы с водой и продолжить зельеварение вы не можете.		0			
1002	Q	Вы осматриваете свои ингридиенты и трофеи добытые во время странствий по миру.		1003			
1003	A	Завершить комбинирование ингредиентов		1000			
1003	A	Красная орхидея		1002	PlayerHasItem#2101	"LoseItem#2101;IncVariable#red_orchid,1"	
1003	A	Синяя орхидея		1002	PlayerHasItem#2100	"LoseItem#2100;IncVariable#blue_orchid,1"	
1003	A	Мерпл		1002	PlayerHasItem#2104	"LoseItem#2104;IncVariable#merple,1"	
1003	A	Тесур		1002	PlayerHasItem#2105	"LoseItem#2105;IncVariable#tesur,1"	
1003	A	Мертвьюнок		1002	PlayerHasItem#2103	"LoseItem#2103;IncVariable#deadly_mushroom,1"	
1003	A	Светящаяся поганка		1002	PlayerHasItem#2102	"LoseItem#2102;IncVariable#glowing_mushroom,1"	
1003	A	Золотое яблоко		1002	PlayerHasItem#5022	"LoseItem#5022;IncVariable#golden_apple,1"	
1003	A	Огненная соль		1002	PlayerHasItem#1005	"LoseItem#1005;IncVariable#fire_salt,1"	
1003	A	Живой лёд		1002	PlayerHasItem#1006	"LoseItem#1006;IncVariable#living_ice,1"	
1003	A	Искрящийся порошок		1002	PlayerHasItem#1007	"LoseItem#1007;IncVariable#sparkling_powder,1"	
1003	A	Клык коралловой мамбы		1002	PlayerHasItem#1020	"LoseItem#1020;IncVariable#coral_mamba_fang,1"	
1003	A	Клык мамбы		1002	PlayerHasItem#1019	"LoseItem#1019;IncVariable#mamba_fang,1"	
