index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	[BLUE]Алхимия.[] Вы можете создавать зелья по найденным рецептам или смешать ингридиенты надеясь на удачу.		2			
2	A	Создать по рецепту		3			
2	A	Смешивать самостоятельно		1000			
2	A	Открыть хранилище		0		OpenWorldContainer#alchemy_chest	
3	Q	Выберите рецепт		4			
1000	Q	Выберите действие		1001			
1001	A	Выберите ингридиенты		1002			
1001	A	Перейти к следующему этапу		2500			
1001	A	Вылить образец.		4000			
1002	Q	Вы осматриваете свои ингридиенты и трофеи добытые во время странствий по миру.		1003			
1003	A	Далее		1004			
1003	A	Синяя орхидея		1000			
1003	A	Красная орхидея		1001			
1003	A	Бело-синяя орхидея		1002			
