index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Здравствуй путник, зачем же время занесло тебя в это место?		2			
2	A	Спиритуализм		10			
2	A	Некромантия		100			
2	A	Демонология		200			
2	A	Друид		300			
10	Q	Мне нужна помощь. Я пришел сюда, чтобы узнать больше о духах.		11			
11	A	Духи жизни		0		TrainSkill#spiritualism	
11	A	Духи войны		0		TrainSkill#war_spirit	
11	A	Магистр спиритуализма		0		TrainSkill#spirit_protection	
11	A	Далее		12			
12	Q	Мне нужна помощь. Я пришел сюда, чтобы узнать больше о духах.		13			
13	A	Сотканный из духов голем		0		TrainSkill#spirit_golem	
13	A	Доделать		0		TrainSkill#spirit_protection	
13	A	Магистр спиритуализма		0		TrainSkill#spirit_protection	
13	A	Далее		14			
100	Q	Мне нужна помощь. Я пришел сюда, чтобы узнать больше о некромантии.		101			
101	A	Плоть и кости		0		TrainSkill#flash_and_bones	
101	A	турн_андед-тест		0		TrainSkill#eerie_laughter	
